/Data/20211222164913.csv
Time, Head.Position.x, Head.Position.y, Head.Position.z, rightHand.Position.x, rightHand.Position.y, rightHand.Position.z, leftHand.Position.x, leftHand.Position.y, leftHand.Position.z, Head.Rotation.x, Head.Rotation.y, Head.Rotation.z, rightHand.Rotation.x, rightHand.Rotation.y, rightHand.Rotation.z, leftHand.Rotation.x, leftHand.Rotation.y, leftHand.Rotation.z, Square, Triangle, Pentagon
0.3533334, 0.7687904, 0.1916301, 0.4011288, 0.8913548, 0.5960018, -1.818396, 0.7675924, 0.5993871, -1.885386, 357.4613, 1.737091, 1.865181, 272.482, 67.00841, 278.1603, 314.1975, 243.4297, 2.001902, True, False, False
0.4847463, -0.003770299, -0.05365012, -0.01752529, 0.8917732, 0.5959119, -1.817906, 0.7678604, 0.599302, -1.884926, 357.6774, 0.2276623, 1.477756, 272.5002, 66.65838, 278.4628, 314.1086, 243.3185, 2.099838, True, False, False
0.5943862, -0.00388914, -0.05374441, -0.01774597, 0.8918071, 0.5961007, -1.81795, 0.7677922, 0.5993592, -1.885026, 357.6687, 0.2298948, 1.466354, 272.5204, 67.01083, 278.1334, 314.1172, 243.358, 2.061037, True, False, False
0.7060043, -0.003573515, -0.05360143, -0.01783599, 0.8917577, 0.5960194, -1.817583, 0.7680433, 0.5995528, -1.884613, 357.6593, 0.2300603, 1.464363, 272.4629, 67.80344, 277.3266, 313.9002, 243.2731, 2.30874, True, False, False
0.8168641, -0.002857443, -0.0529189, -0.0169435, 0.8917196, 0.595736, -1.817277, 0.7685432, 0.5993332, -1.885281, 357.6728, 0.2251181, 1.479627, 272.5997, 68.82876, 276.2914, 313.5997, 243.6772, 2.77931, True, False, False
0.9279304, -0.00314324, -0.05314532, -0.01698347, 0.8918884, 0.5957338, -1.817759, 0.7684879, 0.5992183, -1.885882, 357.6649, 0.2257732, 1.474726, 272.85, 71.35213, 273.7929, 313.6338, 243.7399, 2.857133, True, False, False
1.03317, -0.003394037, -0.05324945, -0.01724765, 0.8918312, 0.5959498, -1.817795, 0.7685809, 0.5992569, -1.886045, 357.6669, 0.2348052, 1.479005, 272.7128, 70.27824, 274.8603, 313.5916, 243.779, 2.899304, True, False, False
1.146877, -0.0031964, -0.05321708, -0.01723517, 0.8919928, 0.5959374, -1.817554, 0.7680545, 0.5989091, -1.885273, 357.6594, 0.2339428, 1.471408, 272.7902, 70.09937, 274.9941, 313.5982, 243.8403, 2.891339, True, False, False
1.249805, -0.003008891, -0.05303058, -0.01703686, 0.8920054, 0.5958549, -1.81757, 0.7673013, 0.5979494, -1.884321, 357.6642, 0.2335166, 1.46324, 272.9992, 66.98341, 278.1513, 313.5873, 243.8852, 2.893887, True, False, False
1.360811, -0.003243085, -0.05311612, -0.01710176, 0.8943222, 0.5958347, -1.817323, 0.7647986, 0.5962488, -1.881155, 357.6689, 0.2319466, 1.468009, 274.2049, 70.37166, 272.8045, 313.5699, 243.9566, 2.903777, True, False, False
1.46283, -0.002911109, -0.05290387, -0.017106, 0.8938036, 0.5959191, -1.81757, 0.7632415, 0.5957491, -1.879952, 357.6646, 0.2388648, 1.460695, 274.0555, 68.10056, 275.2198, 313.5439, 244.0705, 2.848864, True, False, False
1.564449, -0.002347358, -0.05244434, -0.01655967, 0.8951383, 0.5959617, -1.81744, 0.762244, 0.5940508, -1.877261, 357.6759, 0.2310804, 1.466469, 274.127, 72.30379, 270.9175, 313.5085, 243.9778, 3.014013, True, False, False
1.666342, -0.001866907, -0.05220301, -0.01655057, 0.8946652, 0.59587, -1.817253, 0.7646663, 0.595962, -1.880812, 357.6725, 0.2391391, 1.463529, 274.0283, 71.61034, 271.1566, 313.5719, 243.9894, 2.986882, True, False, False
1.766968, -0.001469694, -0.05181608, -0.01596224, 0.8969593, 0.595911, -1.817319, 0.7634141, 0.5948407, -1.87925, 357.6797, 0.2263469, 1.474791, 274.409, 67.19898, 273.5797, 313.4987, 243.822, 3.198446, True, False, False
1.871453, -0.001489196, -0.05176571, -0.01582599, 0.9019122, 0.5962486, -1.817013, 0.7666869, 0.5988862, -1.871746, 357.6927, 0.2370958, 1.471224, 274.8915, 66.35442, 271.1035, 307.4971, 242.1284, 357.304, True, False, False
1.977882, -0.001314085, -0.05154945, -0.01557363, 0.9066741, 0.5966651, -1.815788, 0.7642806, 0.5963737, -1.868001, 357.6809, 0.22939, 1.463536, 277.1976, 67.3627, 266.7109, 306.1448, 235.4628, 2.723483, True, False, False
